name_lat,half_dec,pres
Adoxa moschatellina,2010,274
Adoxa moschatellina,2015,121
Aegopodium podagraria,1960,553
Aegopodium podagraria,1965,766
Aegopodium podagraria,1970,906
Aegopodium podagraria,1975,909
Aegopodium podagraria,1980,790
Aegopodium podagraria,1985,858
Aegopodium podagraria,1990,935
Aegopodium podagraria,1995,1491
Aegopodium podagraria,2000,4620
Aegopodium podagraria,2005,2195
Aegopodium podagraria,2010,2385
Aegopodium podagraria,2015,404
Aethusa cynapioides,1960,2
Aethusa cynapioides,1965,15
Aethusa cynapioides,1970,15
Aethusa cynapioides,1975,13
Aethusa cynapioides,1980,14
Aethusa cynapioides,1985,5
Aethusa cynapioides,1990,21
Aethusa cynapioides,1995,27
Aethusa cynapioides,2000,128
Aethusa cynapioides,2005,44
Aethusa cynapioides,2010,40
Aethusa cynapioides,2015,34
Aethusa cynapium,1960,38
Aethusa cynapium,1965,94
Aethusa cynapium,1970,157
Aethusa cynapium,1975,182
Aethusa cynapium,1980,218
Aethusa cynapium,1985,185
Aethusa cynapium,1990,171
Aethusa cynapium,1995,120
Aethusa cynapium,2000,363
Aethusa cynapium,2005,154
Aethusa cynapium,2010,144
Aethusa cynapium,2015,50
Agrimonia eupatoria,1960,80
Agrimonia eupatoria,1965,179
Agrimonia eupatoria,1970,338
Agrimonia eupatoria,1975,335
Agrimonia eupatoria,1980,322
Agrimonia eupatoria,1985,337
Agrimonia eupatoria,1990,500
Agrimonia eupatoria,1995,396
Agrimonia eupatoria,2000,1384
Agrimonia eupatoria,2005,803
Agrimonia eupatoria,2010,863
Agrimonia eupatoria,2015,179
Agrimonia procera,1960,7
Agrimonia procera,1965,16
Agrimonia procera,1970,21
Agrimonia procera,1975,21
Agrimonia procera,1980,19
Agrimonia procera,1985,44
Agrimonia procera,1990,25
Agrimonia procera,1995,7
Agrimonia procera,2000,68
Agrimonia procera,2005,36
Agrimonia procera,2010,36
Agrimonia procera,2015,30
Agrostemma githago,1960,50
Agrostemma githago,1965,65
Agrostemma githago,1970,36
Agrostemma githago,1975,15
Agrostemma githago,1980,16
Agrostemma githago,1985,9
Agrostemma githago,1990,19
Agrostemma githago,1995,10
Agrostemma githago,2000,14
Agrostemma githago,2005,5
Agrostemma githago,2010,11
Agrostemma githago,2015,11
Agrostis alpina,1970,8
Agrostis alpina,1975,2
Agrostis alpina,1980,1
Agrostis alpina,1985,4
Agrostis alpina,1990,5
Agrostis alpina,1995,5
Agrostis alpina,2000,3
Agrostis alpina,2005,2
Agrostis alpina,2010,4
Agrostis canina,1960,127
Agrostis canina,1965,133
Agrostis canina,1970,202
Agrostis canina,1975,208
Agrostis canina,1980,174
Agrostis canina,1985,229
Agrostis canina,1990,234
Agrostis canina,1995,348
Agrostis canina,2000,946
Agrostis canina,2005,637
Agrostis canina,2010,603
Agrostis canina,2015,84
Agrostis capillaris,1960,651
Agrostis capillaris,1965,698
Agrostis capillaris,1970,1012
Agrostis capillaris,1975,902
Agrostis capillaris,1980,743
Agrostis capillaris,1985,805
Agrostis capillaris,1990,850
Agrostis capillaris,1995,1270
Agrostis capillaris,2000,3652
Agrostis capillaris,2005,1881
Agrostis capillaris,2010,1919
Agrostis capillaris,2015,275
Agrostis rupestris,1960,3
Agrostis rupestris,1965,2
Agrostis rupestris,1970,7
Agrostis rupestris,1975,4
Agrostis rupestris,1980,4
Agrostis rupestris,1985,6
Agrostis rupestris,1990,10
Agrostis rupestris,1995,10
Agrostis rupestris,2000,4
Agrostis rupestris,2005,7
Agrostis rupestris,2010,12
Agrostis stolonifera agg.,1960,295
Agrostis stolonifera agg.,1965,360
Agrostis stolonifera agg.,1970,625
Agrostis stolonifera agg.,1975,603
Agrostis stolonifera agg.,1980,598
Agrostis stolonifera agg.,1985,619
Agrostis stolonifera agg.,1990,633
Agrostis stolonifera agg.,1995,836
Agrostis stolonifera agg.,2000,1900
Agrostis stolonifera agg.,2005,1087
Agrostis stolonifera agg.,2010,831
Agrostis stolonifera agg.,2015,209
Agrostis vinealis,1960,23
Agrostis vinealis,1965,19
Agrostis vinealis,1970,52
Agrostis vinealis,1975,52
Agrostis vinealis,1980,26
Agrostis vinealis,1985,126
Agrostis vinealis,1990,96
Agrostis vinealis,1995,86
Agrostis vinealis,2000,208
Agrostis vinealis,2005,174
Agrostis vinealis,2010,141
Agrostis vinealis,2015,12
Ailanthus altissima,1960,5
Ailanthus altissima,1965,4
Ailanthus altissima,1970,7
Ailanthus altissima,1975,13
Ailanthus altissima,1980,6
Ailanthus altissima,1985,12
Ailanthus altissima,1990,41
Ailanthus altissima,1995,38
Ailanthus altissima,2000,84
Ailanthus altissima,2005,73
Ailanthus altissima,2010,137
Ailanthus altissima,2015,59
Aira caryophyllea,1960,28
Aira caryophyllea,1965,66
Aira caryophyllea,1970,34
Aira caryophyllea,1975,47
Aira caryophyllea,1980,25
Aira caryophyllea,1985,17
Aira caryophyllea,1990,23
Aira caryophyllea,1995,5
Aira caryophyllea,2000,31
Aira caryophyllea,2005,35
Aira caryophyllea,2010,25
Aira caryophyllea,2015,19
Aira praecox,1960,1
Aira praecox,1965,2
Aira praecox,1970,2
Aira praecox,1975,12
Aira praecox,1980,4
Aira praecox,1985,9
Aira praecox,1990,9
Aira praecox,1995,9
Aira praecox,2000,38
Aira praecox,2005,14
Aira praecox,2010,16
Aira praecox,2015,15
Ajuga chamaepitys,1960,13
Ajuga chamaepitys,1965,11
Ajuga chamaepitys,1970,4
Ajuga chamaepitys,1975,17
Ajuga chamaepitys,1980,10
Ajuga chamaepitys,1985,6
Ajuga chamaepitys,1990,35
Ajuga chamaepitys,1995,25
Ajuga chamaepitys,2000,44
Ajuga chamaepitys,2005,35
Ajuga chamaepitys,2010,35
Ajuga chamaepitys,2015,31
Ajuga genevensis,1960,111
Ajuga genevensis,1965,188
Ajuga genevensis,1970,262
Ajuga genevensis,1975,303
Ajuga genevensis,1980,232
Ajuga genevensis,1985,287
Ajuga genevensis,1990,343
Ajuga genevensis,1995,235
Ajuga genevensis,2000,600
Ajuga genevensis,2005,456
Ajuga genevensis,2010,405
Ajuga genevensis,2015,130
Ajuga pyramidalis,1970,2
Ajuga pyramidalis,1975,7
Ajuga pyramidalis,1980,1
Ajuga pyramidalis,1985,1
Ajuga pyramidalis,1990,1
Ajuga pyramidalis,1995,3
Ajuga pyramidalis,2000,24
Ajuga pyramidalis,2005,18
Ajuga pyramidalis,2010,16
Ajuga pyramidalis,2015,1
Ajuga reptans,1960,707
Ajuga reptans,1965,713
Ajuga reptans,1970,959
Ajuga reptans,1975,783
Ajuga reptans,1980,603
Ajuga reptans,1985,696
Ajuga reptans,1990,749
Ajuga reptans,1995,999
Ajuga reptans,2000,2026
Ajuga reptans,2005,1405
Ajuga reptans,2010,1424
Ajuga reptans,2015,271
Alcea biennis,1965,4
Alcea biennis,1980,10
Alcea biennis,1985,2
Alcea biennis,1990,12
Alcea biennis,1995,7
Alcea biennis,2000,18
Alcea biennis,2005,10
Alcea biennis,2010,11
Alcea biennis,2015,3
Alcea rosea,1970,1
Alcea rosea,1975,5
Alcea rosea,1980,5
Alcea rosea,1985,5
Alcea rosea,1990,5
Alcea rosea,1995,4
Alcea rosea,2000,27
Alcea rosea,2005,12
Alcea rosea,2010,20
Alcea rosea,2015,13
Alchemilla vulgaris s.lat.,1960,110
Alchemilla vulgaris s.lat.,1965,288
Alchemilla vulgaris s.lat.,1970,468
Alchemilla vulgaris s.lat.,1975,444
Alchemilla vulgaris s.lat.,1980,497
Alchemilla vulgaris s.lat.,1985,531
Alchemilla vulgaris s.lat.,1990,469
Alchemilla vulgaris s.lat.,1995,696
Alchemilla vulgaris s.lat.,2000,1155
Alchemilla vulgaris s.lat.,2005,756
Alchemilla vulgaris s.lat.,2010,675
Alchemilla vulgaris s.lat.,2015,199
Aldrovanda vesiculosa,1990,6
Aldrovanda vesiculosa,1995,3
Aldrovanda vesiculosa,2000,10
Aldrovanda vesiculosa,2005,1
Aldrovanda vesiculosa,2010,8
Aldrovanda vesiculosa,2015,2
Alisma gramineum,1960,25
Alisma gramineum,1965,13
Alisma gramineum,1970,25
Alisma gramineum,1975,26
Alisma gramineum,1980,22
Alisma gramineum,1985,18
Alisma gramineum,1990,30
Alisma gramineum,1995,12
Alisma gramineum,2000,43
Alisma gramineum,2005,29
Alisma gramineum,2010,19
Alisma gramineum,2015,10
Alisma lanceolatum,1960,20
Alisma lanceolatum,1965,3
Alisma lanceolatum,1970,10
Alisma lanceolatum,1975,29
Alisma lanceolatum,1980,48
Alisma lanceolatum,1985,79
Alisma lanceolatum,1990,88
Alisma lanceolatum,1995,89
Alisma lanceolatum,2000,121
Alisma lanceolatum,2005,68
Alisma lanceolatum,2010,32
Alisma lanceolatum,2015,12
Alisma plantago-aquatica,1960,84
Alisma plantago-aquatica,1965,149
Alisma plantago-aquatica,1970,197
Alisma plantago-aquatica,1975,330
Alisma plantago-aquatica,1980,353
Alisma plantago-aquatica,1985,556
